vehicle_type_code1,collision_count
sgws,1
COMMERICIA,1
Small Bus,1
NAVIG,2
Bicycle,1
ROOD,1
Pro master,1
Hrse,1
EMRGN,1
Unkow,1
RGS,1
D/V WB,1
POIS,1
electronic,1
WHEEL,1
Dept Tow t,1
Garba,3
John,1
MOOPER,1
Ford EC2,1
scoo,1
EMS BUS,1
PUSH SCOOT,1
FDNY INSUR,1
White,2
Mecha,1
MO PE,1
ukn,1
NYC AMBULA,2
E scooter,2
FLAT-,1
omr,1
EMS -BUS,1
Mack Truck,1
gokar,1
MC,3
Nova,1
FireTruck,1
power shov,1
COURI,3
Fdny ambul,2
Carriage,1
LCOM,1
FREIGHT,1
TRANSIT,1
CHEVY,1
HD,1
4door,2
Omnibus,2
Combinatio,1
Refri,1
TAN P,1
Ele. Unicy,1
SPRINTER,1
DOLLY,2
back,1
''lime mope,1
BOXTRUCK,1
COLL,1
USPS POSTA,2
SEDONA,1
DEIV,1
City,3
Bicyc,1
REFR,1
ХР06,1
FD TRUCK,1
carri,1
5X8 T,1
Ford sprin,1
TRAILER CA,1
LADDER 34,1
Fdny ems,1
BOBCAT,2
STREET CLE,1
Van (Trans,1
dirt,2
SERVI,1
TRUCK W/TR,1
TRUCK VAN,1
Subr,1
sweep,1
315 e,1
SM YW,1
SPARK150 S,1
Pickup Tru,1
Farm Vehicle,1
TKTR,1
nyc,1
Mercedes,1
Electric M,1
Motor Scoo,1
TLR,1
ELEC.,1
Postal Box,1
NYCHA Van,1
MTA U,1
LIEBH,1
CHASSIS &,1
Honda HRV,1
MOPAD,1
golf cart,2
Fedex,1
Dodge,1
Yamaha,1
Pas,1
GOLFCART,1
TTAILER,1
GARBAGE ST,1
A-ONE,1
KENWO,1
Mo pa,1
CAT.,1
USPS # 487,1
E ONE,1
GOVT.,1
REVEL scoo,1
MTR H,1
mot,1
A,2
ladde,2
Movin,1
Station Wa,1
Yamah,1
100th truc,1
Ems t,1
PASS VAN,1
MECHANICAL,1
UNKNW,1
tr/tr,1
M2,1
FDNY mecha,1
TCM,1
Wheel,1
pOSTA,1
G1`,1
"TRLR PLT,",1
REVEL MOPE,1
UTV,2
FDNY Ladde,1
work truck,1
ford econo,1
Horse carr,1
couri,1
standing s,1
ems truck,2
semi-,1
LOCOMOTIVE,1
TRANSIT VA,1
EC3,1
4,1
CAMP,1
Unmarked V,1
Ram Promas,1
NYC FDNY #,1
FLAT RACK,1
FLATBED TO,2
OZ MO,1
amulance,1
USPS/GOVT,1
CAN,1
SWEEPER TR,1
P PSD,1
GOV V,1
FDNY Fire,2
Spc,1
ARMOR,1
UTILITY WH,1
R/V C,1
2 TON,1
dilevery t,1
METRO TRAN,1
FedEx box,1
UPS t,1
NYC PARKS,1
U-HAUL,1
FLAT  BED,1
NYPD Tow T,1
Leased amb,1
TRT,1
Penske Box,1
Gator 4x4,1
gator,2
d1,2
house,1
SUBN/Van,1
LCOMM,1
DOT,1
AMBUKANCE,1
Hino,1
CHEVY EXPR,1
P/SE,1
Comm,1
STREET,1
UNK BOX TR,1
del truck,1
TRUCK CRAN,1
FDNY EMT,1
City vehic,1
SEA,1
kick scoot,1
U-HAL,1
COMER,1
VERZION VA,1
white,1
CATER,2
HORSE DRAW,1
e-scooter,2
GREEN,1
fedx,1
NYC FD,1
Stand up s,1
REN,1
SKID STEER,1
cross,1
Pickup tow,1
GLBEN,2
Limo,1
SHUTTLE BU,1
G AMB,1
Schoolbus,1
BLACK,1
Postal ser,1
3DOOR,1
WORKH,1
35 FT,1
EMS TRUCK,1
ups t,1
fd tr,1
small,1
CAT FORKLI,1
LSV,1
delviery,1
?omme,1
UTILITY VA,1
Acces,1
12 PA,1
Yale Fork,1
MOTOR HOME,1
DOT EQUIPM,1
NYS A,1
NS AM,1
east,1
nyfd,1
Work,1
nycha,1
COACH,1
cp,1
H3,1
PSR,1
Econo,2
SWEPE,1
TAILG,1
10 Paaseng,1
City Bus,1
oil t,1
Ram,1
BED T,1
Ford Trans,1
fIRET,1
Dodge ram,1
NYC,1
Ice C,1
E - B,1
ROADS,1
dsny,1
E bik,1
CAMPER VAN,1
nyu s,1
ESU RESCUE,1
CMIXER,1
HDC,1
GE/SC,1
DODGE,1
Fire Truvk,1
BULLDOZER,1
Power,1
EMS A,2
com v,1
CAT P,1
electric s,1
CAB,1
r/v,1
Van T,1
USP M,1
Limousine,1
POSTAL VEH,1
994,1
range,1
Fdny Ems T,1
amazon tru,1
freight,1
SC,1
FDNY UTILI,1
MARK,1
VAN E,1
Waste truc,1
scooc,1
e com,1
MOTORIZEDS,1
red t,1
SELF-INSUR,1
abulance,1
RMP V,1
13,1
E BIKE,1
camper tra,1
1C,1
11-VA,1
RIV 2022,1
.,1
delivery,1
Cat 9,1
Tow-t,1
MARKED RMP,1
Trc,1
FDNY ambul,1
Renta,1
Boom Lift,1
Tlc,1
 omm,1
US MA,1
SCOMM,1
Golf cart,1
post offic,1
MINI BUS,1
Sprinter W,1
postal bus,1
E-BIKE,2
G Sem,1
SUBN - AMB,1
Can,1
dirt bike,1
Govt P/U T,1
yy,1
Standing S,1
Dent and S,1
FDNY #226,1
Livery Bus,1
AMBALANCE,1
SKID LOADE,1
DUMPTRUCK,1
CMS-T,1
I-haul,1
School van,1
USPS #6530,1
2- to,1
Postoffice,1
VAGON,1
SEMI TRUCK,1
HI TA,1
CHERV,1
UHaul,1
mta B,1
Fire engin,1
inter,1
YELLOWPOWE,1
FREE,1
CITYWIDE,1
SONATA,1
F150XL PIC,1
santa,1
f1,1
SAVANA,1
cart,1
BUs,1
Veriz,1
MINI SCHOO,1
MOTORHOME,1
g com,1
ESU REP,1
e-350,1
EMS FDNY B,1
UNKOWN,1
sterl,1
