vehicle_type_code1,collision_count
DUMPS,1
LIEBH,1
50CC SCOOT,1
TR-Trailer,1
HI TA,1
Collection,1
TRACK EXCA,1
2 TON,1
FLYWING MO,1
Passanger,1
Food Trail,1
U-Haul min,1
FD tr,1
yello,1
UPS t,1
seagr,1
nyfd,1
FD TR,1
LADDER,1
ENGINE SP0,1
trlr,1
stak,1
STATE,1
f1,1
SUBN/Van,1
COMMERICAL,1
Pvt Ambula,1
almbulance,1
DETACHED T,1
oil t,1
Track,1
Token,1
M2,1
Dodge ram,1
NYC,1
"USPS TRUC,",1
DEMA-,1
JETSKI,1
T880,1
In Line Sk,1
nyu s,1
3 Whe,1
FUSION,1
Small Bus,1
Hrse,1
3DC-,1
SCOMM,1
PETIT CAB,1
MOVING TRU,1
Fd fi,1
POIS,1
EC3,1
sweep,1
BLACK,1
Postal ser,1
12 PASSENG,1
small,1
JOHN DEERE,1
BTM,1
4 axe,1
Smart,1
BOX CAR,1
NYS A,1
ram,1
Waste truc,1
GOLFCART,1
NS AM,1
12 Pa,1
g scl,1
COMMU,1
GOVT,1
NYC PARKS,1
POWER LADD,1
nyc EMS,1
FDNY EMS#1,1
BUS (OMNIB,1
SUBN WHI,1
Piggy back,1
13,1
J1,1
CUSHM,1
RMP V,1
ABULANCE,1
10 Paaseng,1
DOT,1
YW SCHOOL,1
Refri,1
AMBUKANCE,1
message si,1
limou,1
Tow-t,1
MTA Van,1
"TRLR PLT,",1
MINIVAN,1
VESPA,1
GREEN,1
US MA,1
standing s,1
PET,1
Fdny engin,1
omni,1
Post offic,1
UNKN,1
postal bus,1
GOVERMENT,1
PUMPER,1
C0MME,1
GAS POWERE,1
2 DOO,1
Mack truck,1
E.M.S,1
CAR/SUV,1
Electric m,1
Pumper,1
Truck/bus,1
CMS-T,1
994,1
Ford Couri,1
FDNY- Fire,1
TIR,1
Landscapin,1
COMMM,1
USPS posta,1
MTA TRANSI,1
Yale Fork,1
50cc Scoot,1
YELLOW BUS,1
charter bu,1
PS,1
PERM,1
USPS # 487,1
AERIA,1
courier,1
EMS/VAN,1
DOT VEHICL,1
E BIKE,1
wag,1
NYPD Tow T,1
Access-A-R,1
SMART,1
LCOMM,1
CHEVY EXPR,1
FRONT LOAD,1
BED T,1
P/SE,1
road sweep,1
Ford Trans,1
15 pa,1
''lime mope,1
BOXTRUCK,1
FREIG DELV,1
FRE,1
City vehic,1
BROOM,1
CART,1
Unknown ve,1
Subur,1
Work truck,1
NJ transit,1
RUBBE,1
Rmp,1
E REVEL SC,1
SD,1
Golf cart,1
FLED,1
G AMB,1
electronic,1
LOCOMOTIVE,1
SMART CAR,1
SANMEN COU,1
FDNY Vehic,1
Delivery V,1
315 e,1
Unmarked V,1
SUBN - AMB,1
RINGO,1
electric s,1
FR`,1
